Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.9597	0.9597	0.9597
1	0.05	0.9597	0.9597	0.9597
1	0.10	0.9572	0.9572	0.9572
1	0.15	0.9572	0.9572	0.9572
1	0.20	0.9572	0.9572	0.9572
1	0.25	0.9572	0.9572	0.9572
1	0.30	0.9547	0.9547	0.9547
1	0.35	0.9471	0.9471	0.9471
1	0.40	0.9345	0.9345	0.9345
1	0.45	0.8992	0.8992	0.8992
1	0.50	0.8338	0.8338	0.8338
1	0.55	0.7909	0.7909	0.7909
1	0.60	0.6977	0.6977	0.6977
1	0.65	0.6121	0.6121	0.6121
1	0.70	0.5416	0.5416	0.5416
1	0.75	0.4509	0.4509	0.4509
1	0.80	0.3249	0.3249	0.3249
1	0.85	0.1914	0.1914	0.1914
1	0.90	0.0428	0.0428	0.0428
1	0.95	0.0000	0.0000	0.0000
2	0.00	0.9597	0.9597	0.9597
2	0.05	0.9597	0.9597	0.9597
2	0.10	0.9572	0.9572	0.9572
2	0.15	0.9572	0.9572	0.9572
2	0.20	0.9572	0.9572	0.9572
2	0.25	0.9572	0.9572	0.9572
2	0.30	0.9547	0.9547	0.9547
2	0.35	0.9471	0.9471	0.9471
2	0.40	0.9345	0.9345	0.9345
2	0.45	0.8992	0.8992	0.8992
2	0.50	0.8338	0.8338	0.8338
2	0.55	0.7909	0.7909	0.7909
2	0.60	0.6977	0.6977	0.6977
2	0.65	0.6121	0.6121	0.6121
2	0.70	0.5416	0.5416	0.5416
2	0.75	0.4509	0.4509	0.4509
2	0.80	0.3249	0.3249	0.3249
2	0.85	0.1914	0.1914	0.1914
2	0.90	0.0428	0.0428	0.0428
2	0.95	0.0000	0.0000	0.0000
3	0.00	0.9597	0.9597	0.9597
3	0.05	0.9597	0.9597	0.9597
3	0.10	0.9572	0.9572	0.9572
3	0.15	0.9572	0.9572	0.9572
3	0.20	0.9572	0.9572	0.9572
3	0.25	0.9572	0.9572	0.9572
3	0.30	0.9547	0.9547	0.9547
3	0.35	0.9471	0.9471	0.9471
3	0.40	0.9345	0.9345	0.9345
3	0.45	0.8992	0.8992	0.8992
3	0.50	0.8338	0.8338	0.8338
3	0.55	0.7909	0.7909	0.7909
3	0.60	0.6977	0.6977	0.6977
3	0.65	0.6121	0.6121	0.6121
3	0.70	0.5416	0.5416	0.5416
3	0.75	0.4509	0.4509	0.4509
3	0.80	0.3249	0.3249	0.3249
3	0.85	0.1914	0.1914	0.1914
3	0.90	0.0428	0.0428	0.0428
3	0.95	0.0000	0.0000	0.0000
4	0.00	0.9597	0.9597	0.9597
4	0.05	0.9597	0.9597	0.9597
4	0.10	0.9572	0.9572	0.9572
4	0.15	0.9572	0.9572	0.9572
4	0.20	0.9572	0.9572	0.9572
4	0.25	0.9572	0.9572	0.9572
4	0.30	0.9547	0.9547	0.9547
4	0.35	0.9471	0.9471	0.9471
4	0.40	0.9345	0.9345	0.9345
4	0.45	0.8992	0.8992	0.8992
4	0.50	0.8338	0.8338	0.8338
4	0.55	0.7909	0.7909	0.7909
4	0.60	0.6977	0.6977	0.6977
4	0.65	0.6121	0.6121	0.6121
4	0.70	0.5416	0.5416	0.5416
